audio_path,audio_relpath,condition_id,emo_key,emotion_a,emotion_b,expected_dominance,expected_relation,intensity_value,item_id,mix_ratio,pair_id,pair_label,part,question,role,selection_note,source_emotion,source_path,system,target_emotion,text_id,used_for_part1a
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/01_angry_to_happy_t05.wav,cosyvoice_base/part2_inconsistent/01_angry_to_happy_t05.wav,inc_01,angry_to_happy,,,,,,cosyvoice_base_part2_inconsistent_001,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,angry,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/angry_to_happy/t05.wav,CosyVoice-Base,happy,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/02_angry_to_surprise_t05.wav,cosyvoice_base/part2_inconsistent/02_angry_to_surprise_t05.wav,inc_02,angry_to_surprise,,,,,,cosyvoice_base_part2_inconsistent_002,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,angry,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/angry_to_surprise/t05.wav,CosyVoice-Base,surprise,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/03_fear_to_angry_t05.wav,cosyvoice_base/part2_inconsistent/03_fear_to_angry_t05.wav,inc_03,fear_to_angry,,,,,,cosyvoice_base_part2_inconsistent_003,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/fear_to_angry/t05.wav,CosyVoice-Base,angry,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/04_fear_to_happy_t05.wav,cosyvoice_base/part2_inconsistent/04_fear_to_happy_t05.wav,inc_04,fear_to_happy,,,,,,cosyvoice_base_part2_inconsistent_004,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/fear_to_happy/t05.wav,CosyVoice-Base,happy,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/05_fear_to_surprise_t05.wav,cosyvoice_base/part2_inconsistent/05_fear_to_surprise_t05.wav,inc_05,fear_to_surprise,,,,,,cosyvoice_base_part2_inconsistent_005,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/fear_to_surprise/t05.wav,CosyVoice-Base,surprise,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/06_sad_to_happy_t05.wav,cosyvoice_base/part2_inconsistent/06_sad_to_happy_t05.wav,inc_06,sad_to_happy,,,,,,cosyvoice_base_part2_inconsistent_006,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,sad,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/sad_to_happy/t05.wav,CosyVoice-Base,happy,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/07_sad_to_surprise_t05.wav,cosyvoice_base/part2_inconsistent/07_sad_to_surprise_t05.wav,inc_07,sad_to_surprise,,,,,,cosyvoice_base_part2_inconsistent_007,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,sad,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/sad_to_surprise/t05.wav,CosyVoice-Base,surprise,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/08_angry_to_happy_t06.wav,cosyvoice_base/part2_inconsistent/08_angry_to_happy_t06.wav,inc_08,angry_to_happy,,,,,,cosyvoice_base_part2_inconsistent_008,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,angry,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/angry_to_happy/t06.wav,CosyVoice-Base,happy,t06,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/09_angry_to_surprise_t06.wav,cosyvoice_base/part2_inconsistent/09_angry_to_surprise_t06.wav,inc_09,angry_to_surprise,,,,,,cosyvoice_base_part2_inconsistent_009,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,angry,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/angry_to_surprise/t06.wav,CosyVoice-Base,surprise,t06,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_base/part2_inconsistent/10_fear_to_angry_t06.wav,cosyvoice_base/part2_inconsistent/10_fear_to_angry_t06.wav,inc_10,fear_to_angry,,,,,,cosyvoice_base_part2_inconsistent_010,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice-Base/baseline/zh/inconsistent/fear_to_angry/t06.wav,CosyVoice-Base,angry,t06,
