audio_path,audio_relpath,condition_id,emo_key,emotion_a,emotion_b,expected_dominance,expected_relation,intensity_value,item_id,mix_ratio,pair_id,pair_label,part,question,role,selection_note,source_emotion,source_path,system,target_emotion,text_id,used_for_part1a
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1_intensity/01_happy_n00_alpha0.50.wav,cosyvoice_ours/part1_intensity/01_happy_n00_alpha0.50.wav,int_01,,,,,,alpha0.50,cosyvoice_ours_part1_intensity_001,,,,part1_intensity,,,fear excluded from intensity conditions,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/happy/n00/alpha_0.50.wav,CosyVoice-Ours,happy,n00,true
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1_intensity/02_sad_n00_alpha0.50.wav,cosyvoice_ours/part1_intensity/02_sad_n00_alpha0.50.wav,int_02,,,,,,alpha0.50,cosyvoice_ours_part1_intensity_002,,,,part1_intensity,,,fear excluded from intensity conditions,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/sad/n00/alpha_0.50.wav,CosyVoice-Ours,sad,n00,true
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1_intensity/03_angry_n00_alpha0.50.wav,cosyvoice_ours/part1_intensity/03_angry_n00_alpha0.50.wav,int_03,,,,,,alpha0.50,cosyvoice_ours_part1_intensity_003,,,,part1_intensity,,,fear excluded from intensity conditions,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/angry/n00/alpha_0.50.wav,CosyVoice-Ours,angry,n00,true
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1_intensity/04_surprise_n00_alpha0.50.wav,cosyvoice_ours/part1_intensity/04_surprise_n00_alpha0.50.wav,int_04,,,,,,alpha0.50,cosyvoice_ours_part1_intensity_004,,,,part1_intensity,,,fear excluded from intensity conditions,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/surprise/n00/alpha_0.50.wav,CosyVoice-Ours,surprise,n00,true
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part1_intensity/05_happy_n01_alpha0.50.wav,cosyvoice_ours/part1_intensity/05_happy_n01_alpha0.50.wav,int_05,,,,,,alpha0.50,cosyvoice_ours_part1_intensity_005,,,,part1_intensity,,,fear excluded from intensity conditions,,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/intensity/happy/n01/alpha_0.50.wav,CosyVoice-Ours,happy,n01,true
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/01_angry_to_happy_t05.wav,cosyvoice_ours/part2_inconsistent/01_angry_to_happy_t05.wav,inc_01,angry_to_happy,,,,,,cosyvoice_ours_part2_inconsistent_001,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,angry,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/angry_to_happy/t05.wav,CosyVoice-Ours,happy,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/02_angry_to_surprise_t05.wav,cosyvoice_ours/part2_inconsistent/02_angry_to_surprise_t05.wav,inc_02,angry_to_surprise,,,,,,cosyvoice_ours_part2_inconsistent_002,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,angry,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/angry_to_surprise/t05.wav,CosyVoice-Ours,surprise,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/03_fear_to_angry_t05.wav,cosyvoice_ours/part2_inconsistent/03_fear_to_angry_t05.wav,inc_03,fear_to_angry,,,,,,cosyvoice_ours_part2_inconsistent_003,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/fear_to_angry/t05.wav,CosyVoice-Ours,angry,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/04_fear_to_happy_t05.wav,cosyvoice_ours/part2_inconsistent/04_fear_to_happy_t05.wav,inc_04,fear_to_happy,,,,,,cosyvoice_ours_part2_inconsistent_004,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/fear_to_happy/t05.wav,CosyVoice-Ours,happy,t05,
/data/junchuan/EmoSimplex/mos-survey/audios/cosyvoice_ours/part2_inconsistent/05_fear_to_surprise_t05.wav,cosyvoice_ours/part2_inconsistent/05_fear_to_surprise_t05.wav,inc_05,fear_to_surprise,,,,,,cosyvoice_ours_part2_inconsistent_005,,,,part2_inconsistent,,,selected from user-approved inconsistent conversion list,fear,/data/junchuan/EmoSimplex/demo/CosyVoice/zh/inconsistent/fear_to_surprise/t05.wav,CosyVoice-Ours,surprise,t05,
